original_row_index,product_model,kw,unit_price,qty,subtotal_price,gross_margin_rate,energy_grant_amount,competitor_a,competitor_b,competitor_c,is_compe_a,is_compe_b,is_compe_c,competitor_count_available,avg_competitor_price,min_competitor_price,max_competitor_price,price_gap_avg_competitor,price_gap_avg_competitor_pct,price_gap_min_competitor,price_gap_min_competitor_pct,higher_than_avg_competitor,is_lower_than_competitor,effective_price_after_grant,grant_ratio_to_subtotal,estimated_cost,estimated_gross_profit
626,0.018830094129953068,0.0031061916658654807,0.48612760138639716,-0.05340642064780696,0.0884472187384381,0.9814674576932156,-0.004912783745676279,-0.022154202284291387,-0.0010568105790298432,0.0,0.0,-7.256613112986087e-05,0.0,0.0,0.003877576666418463,0.0,0.0,0.44050940734043253,0.0524226595039363,0.09016288781131152,-0.5672570699534845,-0.025555100538767875,0.0,1.989446700293629,1.4396189960819903,0.5736678260542248,0.24989764968850067
1865,0.06260139475387405,0.0026599476786213928,-0.1704385733277013,-0.036380316928989485,0.045724940739019074,0.45054290245032463,0.015074048086535185,0.037016950792749415,-0.001274002006975934,0.0,0.0,-0.00018141530454158784,0.0,0.0,0.0058891976857557895,0.0,0.0,-0.02604628905537538,-0.2928797849944385,-0.12566706093515678,-0.8938135440996848,-0.056572788878111166,0.0,-0.1386536743171746,0.3376276812533615,0.290093656756726,-0.08970438816177193
4374,0.04914551409368869,0.0027305168425664304,-0.24289584809332154,-0.05507403863419313,0.017656277230998968,0.6324741102910048,-0.012456663232296706,0.02617465957184322,-0.001274002006975934,0.0,0.0,-5.1832948811352255e-05,0.0,0.0,0.005731447034049779,0.0,0.0,0.18360915489938634,-0.1752829745033523,0.16648715584175078,-1.0869094068236882,-0.00531139878439717,0.0,-0.04964338775083888,-0.9458650579533423,-0.7306154198040167,-0.022142823003523517
247,-0.06168172532619792,0.0057965050457278264,0.4698123332785326,-0.05089974673464894,-0.9152215378917754,0.6468914860083896,-0.01348754483042285,0.02800104930647649,-0.0008703423838596791,0.0,0.0,-0.00010366589995101095,0.0,0.0,-0.00258540662471205,0.0,0.0,-0.11287870296495385,-0.11613642119853466,-0.1146647485383437,-0.8117113717176108,-0.004220446405815892,0.0,0.00013145137374522163,-0.9491922837497259,-1.2080527965038346,-0.3802674154608394
489,0.006337508587967023,-0.4147722330222314,-0.7511729889970593,0.1687455553576001,-0.2694433557314915,-0.6535243726795307,-0.003882872085669078,-0.17361801440187263,-0.0067257173894904555,0.0,0.0,-0.0015420300886034965,0.0,0.0,0.005998110217042267,0.0,0.0,-1.3046157954811133,0.36041687533288497,-0.016360055754685163,3.850803676154319,0.035087636168755126,0.007771285768831149,-0.38173275677094354,-1.540654867592093,1.3912865096193128,-0.4234082843424403
3562,0.038254718529206005,0.01571341120317811,0.12112570712882188,-0.02556526723841671,0.06365889388704091,0.9036298669537973,0.0022610253898892553,0.010854561084124725,-0.0026314853216172196,0.0,0.0,-0.0002902645245194435,0.0,0.0,0.002717429419280961,0.0,0.0,0.2342664640469957,0.745846449003293,-0.06713300445988352,3.4837286231464533,0.018205682124826126,0.00020757051417604088,2.385960343414845,1.855718122215403,0.6211074629070663,0.4071893169116811
4085,0.0058639442407002204,0.020131747354753315,0.7744071652297861,-0.06789294568094192,-0.32643913781968875,2.421635916327432,-0.014098544831358594,0.04293935020337813,-0.0008957724447827786,0.0,0.0,-0.00010366589995101095,0.0,0.0,-0.002145303119905293,0.0,0.0,0.10094427089235979,-0.30562535724082407,-0.032825906040670816,-0.5968716378468525,0.016748431566520595,0.0,2.8252073004760314,0.8429102841221539,-0.09530942069526645,0.49196881186100655
2216,0.0030916021014854777,0.008490268685854972,0.7330977663691738,-0.06188073613506276,-0.4752559038370964,1.0635522267538908,-0.013095998736680485,0.04121606280445121,-0.0014933221007231623,0.0,0.0,-0.00010366589995101095,0.0,0.0,-0.0027569183264859022,0.0,0.0,0.1041055735757982,-0.3299525101844574,-0.07274137407861417,-0.8440810870617134,0.018054362623370252,0.0,2.7882022360542034,0.6439602470057071,-1.8674278600828802,0.5182681658960064
3255,0.04914551409368869,0.0027305168425664304,-0.24289584809332154,-0.05507403863419313,0.017656277230998968,0.6324741102910048,-0.012456663232296706,0.02617465957184322,-0.001274002006975934,0.0,0.0,-5.1832948811352255e-05,0.0,0.0,0.005731447034049779,0.0,0.0,0.18360915489938634,-0.1752829745033523,0.16648715584175078,-1.0869094068236882,-0.00531139878439717,0.0,-0.04964338775083888,-0.9458650579533423,-0.7306154198040167,-0.022142823003523517
3708,0.024786702794372104,0.0023309470526874064,-0.23860905633107904,-0.07778041940648109,0.15755811815659398,-4.410218824653348,0.005711384523892775,0.013818440701579676,-0.000756209778774064,0.0,0.0,-7.256613112986087e-05,0.0,0.0,0.0036950099025852977,0.0,0.0,0.10967502723491634,0.5016753000584867,0.5615265997404094,-1.870621042453422,-0.004659868597227615,0.0,-0.9052546632087615,-0.5317806787978043,-0.48881699630703224,-0.2551561659570143
