original_row_index,base_value
3168,-1.3632977278410197
2208,-1.3632977278410197
653,-1.3632977278410197
3148,-1.3632977278410197
2274,-1.3632977278410197
4722,-1.3632977278410197
3570,-1.3632977278410197
2470,-1.3632977278410197
2384,-1.3632977278410197
3503,-1.3632977278410197
2292,-1.3632977278410197
832,-1.3632977278410197
3735,-1.3632977278410197
3031,-1.3632977278410197
3026,-1.3632977278410197
3184,-1.3632977278410197
4493,-1.3632977278410197
117,-1.3632977278410197
3286,-1.3632977278410197
2406,-1.3632977278410197
1240,-1.3632977278410197
4631,-1.3632977278410197
308,-1.3632977278410197
2530,-1.3632977278410197
3703,-1.3632977278410197
3664,-1.3632977278410197
3657,-1.3632977278410197
1879,-1.3632977278410197
1305,-1.3632977278410197
3389,-1.3632977278410197
59,-1.3632977278410197
4332,-1.3632977278410197
1608,-1.3632977278410197
2121,-1.3632977278410197
4763,-1.3632977278410197
2648,-1.3632977278410197
4375,-1.3632977278410197
2917,-1.3632977278410197
4565,-1.3632977278410197
4199,-1.3632977278410197
1359,-1.3632977278410197
4282,-1.3632977278410197
354,-1.3632977278410197
1419,-1.3632977278410197
164,-1.3632977278410197
3279,-1.3632977278410197
4700,-1.3632977278410197
3551,-1.3632977278410197
1564,-1.3632977278410197
1143,-1.3632977278410197
2709,-1.3632977278410197
4564,-1.3632977278410197
1061,-1.3632977278410197
2400,-1.3632977278410197
1775,-1.3632977278410197
4393,-1.3632977278410197
2044,-1.3632977278410197
3585,-1.3632977278410197
550,-1.3632977278410197
3461,-1.3632977278410197
412,-1.3632977278410197
3474,-1.3632977278410197
1847,-1.3632977278410197
3971,-1.3632977278410197
4327,-1.3632977278410197
4293,-1.3632977278410197
1846,-1.3632977278410197
2062,-1.3632977278410197
4762,-1.3632977278410197
3150,-1.3632977278410197
1944,-1.3632977278410197
4808,-1.3632977278410197
4071,-1.3632977278410197
1490,-1.3632977278410197
2981,-1.3632977278410197
1995,-1.3632977278410197
643,-1.3632977278410197
674,-1.3632977278410197
1612,-1.3632977278410197
617,-1.3632977278410197
855,-1.3632977278410197
4095,-1.3632977278410197
2764,-1.3632977278410197
4285,-1.3632977278410197
1960,-1.3632977278410197
3423,-1.3632977278410197
3309,-1.3632977278410197
2746,-1.3632977278410197
1195,-1.3632977278410197
658,-1.3632977278410197
2463,-1.3632977278410197
553,-1.3632977278410197
4437,-1.3632977278410197
3161,-1.3632977278410197
2362,-1.3632977278410197
1156,-1.3632977278410197
1662,-1.3632977278410197
3339,-1.3632977278410197
4269,-1.3632977278410197
785,-1.3632977278410197
3127,-1.3632977278410197
2863,-1.3632977278410197
2081,-1.3632977278410197
4740,-1.3632977278410197
1338,-1.3632977278410197
3070,-1.3632977278410197
3529,-1.3632977278410197
4739,-1.3632977278410197
4292,-1.3632977278410197
4477,-1.3632977278410197
2610,-1.3632977278410197
3699,-1.3632977278410197
1838,-1.3632977278410197
218,-1.3632977278410197
4047,-1.3632977278410197
3295,-1.3632977278410197
845,-1.3632977278410197
2813,-1.3632977278410197
1843,-1.3632977278410197
1890,-1.3632977278410197
30,-1.3632977278410197
4069,-1.3632977278410197
1570,-1.3632977278410197
629,-1.3632977278410197
1435,-1.3632977278410197
1530,-1.3632977278410197
3716,-1.3632977278410197
3891,-1.3632977278410197
3535,-1.3632977278410197
2960,-1.3632977278410197
1876,-1.3632977278410197
1395,-1.3632977278410197
4310,-1.3632977278410197
1246,-1.3632977278410197
2681,-1.3632977278410197
4771,-1.3632977278410197
3276,-1.3632977278410197
4715,-1.3632977278410197
2085,-1.3632977278410197
786,-1.3632977278410197
4702,-1.3632977278410197
4805,-1.3632977278410197
2535,-1.3632977278410197
4065,-1.3632977278410197
1153,-1.3632977278410197
4654,-1.3632977278410197
2641,-1.3632977278410197
221,-1.3632977278410197
1672,-1.3632977278410197
2589,-1.3632977278410197
3643,-1.3632977278410197
37,-1.3632977278410197
2045,-1.3632977278410197
910,-1.3632977278410197
2287,-1.3632977278410197
4198,-1.3632977278410197
3157,-1.3632977278410197
4796,-1.3632977278410197
3961,-1.3632977278410197
3709,-1.3632977278410197
3229,-1.3632977278410197
3855,-1.3632977278410197
2964,-1.3632977278410197
1007,-1.3632977278410197
3604,-1.3632977278410197
3437,-1.3632977278410197
4448,-1.3632977278410197
1329,-1.3632977278410197
1621,-1.3632977278410197
385,-1.3632977278410197
492,-1.3632977278410197
1218,-1.3632977278410197
1864,-1.3632977278410197
3201,-1.3632977278410197
197,-1.3632977278410197
4658,-1.3632977278410197
3500,-1.3632977278410197
4364,-1.3632977278410197
240,-1.3632977278410197
4592,-1.3632977278410197
4758,-1.3632977278410197
913,-1.3632977278410197
2664,-1.3632977278410197
1929,-1.3632977278410197
166,-1.3632977278410197
2227,-1.3632977278410197
3814,-1.3632977278410197
2225,-1.3632977278410197
4188,-1.3632977278410197
2572,-1.3632977278410197
2660,-1.3632977278410197
2255,-1.3632977278410197
1190,-1.3632977278410197
3909,-1.3632977278410197
928,-1.3632977278410197
1667,-1.3632977278410197
512,-1.3632977278410197
1527,-1.3632977278410197
4777,-1.3632977278410197
4736,-1.3632977278410197
2959,-1.3632977278410197
4601,-1.3632977278410197
239,-1.3632977278410197
48,-1.3632977278410197
3742,-1.3632977278410197
626,-1.3632977278410197
1865,-1.3632977278410197
4374,-1.3632977278410197
247,-1.3632977278410197
489,-1.3632977278410197
3562,-1.3632977278410197
4085,-1.3632977278410197
